Printing schedules for 2023Q1   Current Date: 2023-8-25, 21:51:37

	Dilluns		Dimarts		Dimecres	Dijous		Divendres
8h	IA 11L		  -  		PROP 21L	PAR 23L		  -  		
9h	IA 11T		  -  		PROP 21L	PAR 23L		  -  		
10h	PAR 23T		IA 11T		A 11T		A 11L		  -  		
11h	PAR 23T		IA 11T		A 11T		A 11L		  -  		
12h	TC 11L		PROP 21T	  -  		TC 11L		  -  		
13h	TC 11L		PROP 21T	  -  		TC 11L		  -  		
14h	  -  		  -  		  -  		  -  		  -  		
15h	  -  		  -  		  -  		  -  		  -  		
16h	  -  		  -  		  -  		  -  		  -  		
17h	  -  		  -  		  -  		  -  		  -  		
18h	  -  		  -  		  -  		  -  		  -  		
19h	  -  		  -  		  -  		  -  		  -  		
20h	  -  		  -  		  -  		  -  		  -  		

	Dilluns		Dimarts		Dimecres	Dijous		Divendres
8h	  -  		G 12T		PROP 21L	G 12L		  -  		
9h	  -  		G 12T		PROP 21L	G 12L		  -  		
10h	PAR 22T		PAR 22L		A 11T		A 11L		  -  		
11h	PAR 22T		PAR 22L		A 11T		A 11L		  -  		
12h	TC 11L		PROP 21T	  -  		TC 11L		  -  		
13h	TC 11L		PROP 21T	  -  		TC 11L		  -  		
14h	  -  		  -  		  -  		  -  		  -  		
15h	  -  		  -  		  -  		  -  		  -  		
16h	  -  		  -  		  -  		  -  		  -  		
17h	  -  		  -  		  -  		  -  		  -  		
18h	  -  		  -  		  -  		  -  		  -  		
19h	  -  		  -  		  -  		  -  		  -  		
20h	  -  		  -  		  -  		  -  		  -  		

	Dilluns		Dimarts		Dimecres	Dijous		Divendres
8h	IA 11L		G 12T		PROP 21L	G 12L		  -  		
9h	IA 11T		G 12T		PROP 21L	G 12L		  -  		
10h	TC 12L		IA 11T		A 13T		TC 12L		  -  		
11h	TC 12L		IA 11T		A 13T		TC 12L		  -  		
12h	A 13L		PROP 21T	  -  		  -  		  -  		
13h	A 13L		PROP 21T	  -  		  -  		  -  		
14h	  -  		  -  		  -  		  -  		  -  		
15h	  -  		  -  		  -  		  -  		  -  		
16h	  -  		  -  		  -  		  -  		  -  		
17h	  -  		  -  		  -  		  -  		  -  		
18h	  -  		  -  		  -  		  -  		  -  		
19h	  -  		  -  		  -  		  -  		  -  		
20h	  -  		  -  		  -  		  -  		  -  		

	Dilluns		Dimarts		Dimecres	Dijous		Divendres
8h	IA 11L		G 12T		PROP 21L	G 12L		  -  		
9h	IA 11T		G 12T		PROP 21L	G 12L		  -  		
10h	TC 12L		IA 11T		A 14T		TC 12L		  -  		
11h	TC 12L		IA 11T		A 14T		TC 12L		  -  		
